key,14
7-101338,1074094052
7-961965,1073622614
7-1146429,1073861633
7-100953,1073807360
7-1349274,1073836922
7-420215,1074043922
7-438396,1074049914
7-60001,1073777800
7-781475,1074043922
5-115368,1073622614
7-118919,1073424897
7-1466621,1073627138
7-259343,1074019826
5-58465,1074020609
7-799533,1073807360
7-258854,1073579009
7-241891,1073755905
7-438178,1074019826
7-421893,1074067802
7-1326673,1073837057
7-601231,1073774868
7-961547,1074266113
7-781358,1073872897
7-76655,1073766284
7-1326059,1073774868
7-438969,1073564808
5-255296,1074064010
7-421156,1073799052
5-59203,1073807361
5-41370,1073836922
7-1467380,1074020865
7-437629,1073777800
7-616610,1073807360
7-436545,1074043922
5-614921,1073557505
7-117638,1073774868
5-59402,1073807617
7-796506,1074067802
7-1146982,1073807361
7-77605,1074371238
7-1326166,1073807361
7-1486020,1074061430
7-1506092,1074020353
7-616798,1073627138
7-1486800,1074043922
5-58989,1073807361
7-1487099,1073841153
7-1504616,1073579009
5-248251,1074085614
5-110146,1074064010
5-111901,1073564808
7-435850,1073777665
7-977039,1073841153
5-250751,1073622614
5-613195,1073557505
7-114178,1073905664
7-254678,1073774593
7-1464511,1073799052
7-1484298,1074061430
5-793379,1073659905
7-1466908,1074020865
7-1145829,1074085889
7-797363,1073872897
7-1504221,1073579009
7-1142618,1074020353
7-75498,1073561600
5-609876,1073861633
5-431904,1074064010
7-75636,1073528833
7-434178,1073561600
7-255624,1073841153
7-1325007,1073627138
7-975899,1074043922
7-114804,1074094052
5-608161,1073582081
5-610169,1073659905
7-74929,1073836922
5-251394,1074094052
7-1322324,1074020353
5-789590,1073582081
7-1482773,1073774593
5-431610,1073836922
5-109199,1073622614
7-435354,1074020628
7-252693,1073627138
7-1143732,1074019826
7-615137,1074067802
7-614918,1074019826
7-72627,1074261249
7-795313,1073841153
7-1483870,1074261249
7-1503842,1073872897
7-1323630,1073807086
7-1482156,1073836922
7-1482094,1073774593
7-1323593,1074020353
7-1140462,1074048001
7-1482929,1073807361
7-1463053,1074073601
5-767859,1073987584
7-793857,1073755905
7-113258,1074020865
7-1158778,1074019826
7-1502942,1073837057
7-253833,1073817450
7-792260,1073500588
7-1503487,1073774868
7-1323019,1073799052
7-1500459,1074042232
5-407438,1073850218
7-973424,1074020865
7-1498524,1074085889
7-108712,1073836922
7-1478401,1073755905
7-68664,1074019826
7-613214,1073861633
7-1158593,1074038440
7-1463105,1074397185
7-1478677,1073816577
7-108676,1074048001
7-1320328,1073841153
7-1460576,1074061430
7-793342,1074085889
7-432991,1074073601
7-1339906,1073992705
7-1500177,1073992705
7-70565,1074038440
7-248592,1073755905
7-432960,1073777800
7-1338022,1073753089
7-1478399,1073774593
7-612813,1073627138
7-1478046,1073807361
5-224625,1073836922
7-1478187,1073841153
7-70242,1073905664
7-111826,1074094052
5-947329,1074091777
7-1460099,1074024961
7-70338,1073905664
7-1339541,1073774593
7-71878,1073564808
7-1141377,1074012190
7-1339516,1073861633
7-250132,1074012190
7-429980,1073774868
7-1499389,1074020353
7-1499363,1073987584
7-1321277,1073799052
7-1461472,1074073601
7-1159040,1074085889
7-790204,1074012394
7-71791,1074067802
7-1461518,1074011137
7-429946,1073777800
7-1479262,1074020353
7-790004,1074038440
5-764251,1073850218
7-1499012,1073627138
7-251434,1073755905
7-970211,1074266113
7-109499,1073836922
7-109485,1073627138
7-1481315,1073542913
7-1500884,1074073601
7-111050,1073627138
7-249513,1073774593
7-431433,1073816577
7-971793,1073861633
7-431498,1074038440
7-251334,1073777665
5-585685,1074091777
7-429562,1073799052
7-1496748,1073774593
7-609466,1073766284
7-251392,1073836922
7-788917,1073528833
5-584987,1074137345
5-584993,1074137345
7-226589,1073807361
7-1496453,1073627138
7-1156298,1073627138
5-585426,1073807617
7-249023,1073841153
7-609269,1074019826
7-250971,1073528833
7-608988,1073777800
7-1336131,1073753089
7-1497915,1074020353
5-405114,1074085614
7-1476124,1074042232
7-1497762,1073622614
5-944863,1074058241
7-46349,1073622614
7-226053,1074020353
7-586303,1073774593
7-946204,1073807086
7-946211,1073841153
5-403872,1073627138
7-1476860,1074067802
7-766382,1074020865
7-406076,1073774868
7-407993,1074085889
7-586160,1073872897
7-767767,1073777665
7-227263,1074048001
7-1154525,1073817450
5-223711,1073564808
7-1334783,1074080513
7-1516956,1074266113
7-947964,1073528833
7-47482,1073564808
7-1494774,1073837057
5-942072,1074094052
7-227392,1074012394
7-1494685,1073793281
7-1474611,1073841153
7-1474757,1074038440
5-583585,1074137345
5-763704,1073850218
7-1515700,1073774593
7-1335558,1073861633
7-404215,1074061430
7-1154842,1074019826
7-1494537,1074094052
7-406961,1074266113
7-584661,1073807361
7-1335659,1074085889
7-44087,1073564808
7-1335351,1074020353
7-1334851,1074266113
7-404121,1074019826
7-1475870,1074043922
5-400650,1073987584
7-1475911,1074038440
7-1335404,1074266113
5-418365,1073627138
7-764180,1073627138
7-1494977,1074020628
7-1495136,1074042232
7-1472015,1073807360
5-401093,1073987584
5-779161,1073807360
5-236698,1073836922
7-945061,1073905664
5-221132,1073850218
7-764908,1073583105
5-580937,1073807617
5-599512,1074054145
7-1472488,1073766284
5-761512,1073807360
7-222751,1073837057
7-45199,1074020865
5-941627,1073807636
7-225148,1073807361
7-225122,1073992705
7-1495089,1074020353
7-1512670,1074049914
5-778113,1073850218
7-1152359,1073807361
7-762691,1073793281
7-1333429,1073774868
7-1493561,1074020353
7-402357,1073905664
7-583682,1073992705
7-1150588,1073777665
7-43264,1074094052
5-237744,1073850218
7-222143,1074094052
7-1493348,1074048001
7-402121,1074067802
7-223790,1073992705
7-583927,1074266113
7-223700,1074024961
7-1148768,1073755905
7-942161,1074043922
7-1150526,1073807360
7-43340,1073836922
7-1328592,1074397185
7-43063,1074042232
7-1488518,1074011137
7-1330322,1074020353
7-1328330,1074048001
5-417506,1073807636
7-1150362,1073807361
7-1470761,1074042232
7-1330480,1074012190
7-1508410,1073561600
7-1508252,1074266113
7-58638,1074012394
7-1508344,1073561600
5-417397,1074094052
7-580778,1073861633
7-238421,1074085889
5-597142,1073807617
7-1491901,1074012394
7-1510312,1073564808
7-238732,1073807361
7-418651,1073841153
7-1489983,1074020353
7-220260,1074020353
5-776982,1073807636
7-40215,1073836922
7-580517,1074135041
7-1509913,1074012394
7-1151404,1073766284
7-58266,1073622614
7-58249,1074049914
7-1469783,1073774868
7-1149310,1073799052
7-239982,1073807361
7-238185,1073861633
7-59952,1074094052
7-760251,1073807086
5-234378,1073840404
7-598178,1073564808
7-958065,1074073601
7-401790,1074042232
7-760133,1073753089
5-235908,1074305702
7-221656,1074020353
7-400087,1074012190
7-778006,1074071809
7-1330936,1073622614
7-58919,1074067802
7-419067,1073583105
7-1126161,1074261249
7-56671,1074038440
7-959849,1074019826
7-1286633,1074012394
7-419731,1073872897
7-1471002,1074020865
7-1286725,1074042232
7-1470914,1074397185
7-221202,1074020353
7-599555,1073807086
7-400971,1074042232
7-1287856,1073766284
7-959231,1074085889
7-1286005,1073553292
5-20189,1073861633
7-1307697,1073553292
7-1267692,1074043922
7-1447702,1074020353
7-400884,1073627138
7-1127768,1073766284
7-236692,1073861633
7-416603,1074020865
7-1126877,1073583105
5-592551,1073582081
5-21227,1073807617
7-237445,1074043922
7-417769,1073807360
7-957839,1073777800
5-592037,1073582081
7-956033,1074048001
7-1267139,1073836922
7-957679,1074024961
5-773972,1073850218
7-1284599,1074020628
7-236805,1074011137
7-597323,1073992705
7-417283,1074019826
5-36554,1073840404
7-597222,1073807361
7-1264413,1074012394
5-233278,1073840404
7-597347,1073561600
7-596963,1074020628
7-416941,1073777800
7-1304012,1073528833
7-1264039,1074020865
7-1305777,1074011137
7-414469,1073807361
7-414427,1074061430
7-1444150,1073992705
7-1285490,1073777800
5-408471,1074085614
7-54199,1074024961
7-1265529,1073992705
7-234271,1073807361
7-774756,1074020353
7-54208,1073774593
7-414532,1074019826
5-590555,1074020609
7-1125164,1074043922
7-594022,1073774868
5-228305,1073836922
5-590293,1073861633
7-775968,1074011137
7-1285114,1074024961
7-415478,1073777800
7-595544,1073799052
7-55315,1074043922
5-949815,1074137345
5-591693,1073582081
7-1304838,1074020353
7-774292,1073774868
7-774317,1074094052
7-1265309,1073793281
7-1444819,1074080513
7-235505,1074011137
7-775743,1073500588
7-1444951,1074012190
7-55077,1073777800
7-235178,1073837057
7-1442456,1074012394
5-949633,1073861633
7-1122026,1074085889
7-595056,1073424897
7-594834,1074019826
7-1123666,1074071809
5-589153,1073861633
5-590908,1073861633
5-771080,1074064010
7-1263464,1074019826
7-1443794,1073777800
5-566706,1074054145
7-1283497,1074043922
7-1263549,1073774868
7-774848,1074043922
7-415080,1074061430
7-1302168,1073807361
7-775030,1074043922
5-411320,1073807360
7-1303952,1073528833
7-592720,1074094052
7-1262109,1074094052
7-53677,1074048001
7-952251,1073807361
7-1263293,1074042232
7-1318765,1073807360
7-1278660,1073837057
5-567659,1073557505
7-773715,1074094052
7-1278737,1073774593
7-233346,1073424897
5-387529,1073807617
7-1138326,1074050049
7-1318234,1074094052
7-1260554,1073777800
5-207224,1073582081
7-773231,1073777665
7-1139980,1073861633
7-1278373,1074073601
7-1121662,1074085889
7-1261862,1073799052
7-1279865,1073841153
7-1120008,1073861633
7-1138140,1074050049
7-1280055,1073799052
7-230622,1074050049
7-1300117,1073841153
7-1440282,1074080513
7-410758,1073807086
7-228580,1074043922
7-590448,1074020353
7-230274,1073837057
7-48393,1074080513
7-1301419,1073807361
5-33429,1073564808
7-770515,1074042232
7-48166,1074048001
5-384382,1073807617
7-770468,1073766284
7-590276,1073836922
7-948696,1073861633
7-950465,1074020353
7-1459431,1073774868
7-228126,1074020353
7-410000,1073774868
7-591996,1073807360
7-1318978,1074012190
5-384026,1074085889
7-769994,1073841153
5-33316,1073564808
7-51762,1073622614
7-1318833,1073755905
7-590149,1073542913
7-1459269,1073799052
7-949636,1073861633
7-51353,1074043922
5-205430,1073861633
7-49296,1073777800
7-770119,1073872897
7-771891,1073766284
7-948185,1073755905
7-950196,1073774593
7-409718,1073905664
7-409707,1074067802
7-49511,1073774868
7-769797,1074020353
7-50927,1073774868
7-949522,1074043922
7-1136178,1074085889
7-951486,1074043922
7-1316516,1073766284
5-385511,1074091777
7-51192,1073774868
7-48938,1074024961
7-591034,1073500588
7-409184,1073774868
7-410977,1073807360
7-411153,1074038440
7-588956,1073816577
5-384944,1073659905
7-206687,1073793281
7-206451,1073816577
7-1456042,1073987584
7-386270,1073774868
5-925047,1073622614
7-1317502,1074020628
7-27640,1074019826
7-206113,1073799052
7-1136932,1073774868
5-562204,1073582081
5-562029,1073659905
7-387345,1073992705
7-1314249,1073500588
7-1134155,1074080513
7-24598,1073542913
7-204523,1074011137
7-1455961,1073766284
7-1315414,1073627138
5-380539,1074085889
7-1455682,1073627138
7-1275518,1073622614
7-1294862,1074020628
7-565941,1074024961
7-744297,1073841153
5-560367,1074054145
5-920534,1074094052
7-205539,1073807360
7-1292479,1073774593
7-1132555,1073861633
5-741960,1074064010
7-1292788,1073807361
7-25548,1073564808
5-938225,1073850218
7-1274894,1074043922
7-925741,1073807086
7-1292364,1074011137
5-399355,1073987584
5-219337,1073807360
7-1272112,1073807361
7-1452002,1074094052
7-22262,1073564808
7-742617,1074020865
7-1313816,1073987584
7-382456,1073579009
7-745095,1073777800
7-925191,1074048001
5-759151,1073850218
7-382395,1074012190
7-1313207,1073841153
7-922561,1073774593
7-1293176,1073528833
5-576321,1073861633
5-576325,1073807617
7-1312891,1074042232
7-922526,1073755905
7-1273384,1073622614
7-383640,1073799052
7-922388,1074011137
7-203471,1074043922
7-923829,1074337710
7-1272903,1073836922
7-1453024,1073807361
7-1448727,1073816577
7-1131877,1073799052
7-1308332,1073992705
5-937776,1073836922
7-203525,1073807361
7-1308591,1074020865
5-397560,1074085614
7-1268420,1073807086
5-217349,1073836922
7-563101,1074020628
7-563109,1073579009
7-1129631,1073841153
7-1448214,1074020353
7-1268191,1073799052
5-396919,1073622614
7-1291650,1073542913
5-937246,1074064010
7-560706,1074080513
7-1129434,1073793281
7-39846,1074020628
7-1291268,1073561600
7-1131065,1074024961
7-1289237,1073627138
7-1311209,1073774868
7-1130951,1073528833
7-219640,1074048001
7-201640,1074050049
7-560119,1074048001
7-1311391,1074085889
7-1269497,1073622614
7-1449583,1073755905
5-934770,1074064010
5-754368,1073807636
7-939984,1074094052
7-741763,1074085889
7-939880,1073777665
7-1106521,1074012394
7-1066440,1074094052
7-21373,1073905664
7-759455,1073583105
7-1086202,1074043922
5-755788,1073807360
5-215535,1073840404
7-381049,1074020628
7-1066251,1073807361
7-218804,1074048001
7-1426428,1073992705
7-741285,1074020353
5-19648,1073807361
7-1426103,1073774593
7-1427627,1074061430
5-935171,1073807636
7-1086089,1073528833
7-576737,1073553292
7-1067741,1073774868
5-574923,1073807361
5-575130,1074091777
7-576477,1073774868
7-1067680,1073564808
7-1067698,1074071809
7-936525,1073841153
7-217645,1074020353
5-392000,1073850218
7-1084595,1073841153
7-1104555,1074019826
7-217225,1074085889
7-1064531,1074019826
7-1064496,1073799052
5-752870,1073807360
7-937144,1074048001
5-573104,1074091777
7-1065737,1073836922
5-932095,1073622614
7-397190,1073774868
7-1085849,1074020628
7-1104033,1073774593
5-750739,1073807360
5-568579,1073807361
7-35916,1074094052
7-1244878,1073774868
7-34354,1073774868
7-34298,1074020628
7-394298,1073583105
7-574204,1074061430
7-1104011,1073542913
7-34450,1074019826
7-574631,1074011137
7-34562,1073774868
7-1244808,1073774868
7-575751,1073755905
5-748280,1073622614
7-1242609,1073807361
7-1062575,1073766284
7-1082380,1074042232
7-1242434,1073807361
7-1242419,1074020865
7-34832,1074020628
7-755503,1073905664
7-1102042,1074043922
7-1082146,1073774868
7-572660,1073987584
5-15855,1073861633
5-569026,1073807361
7-212405,1074080513
7-1062072,1073841153
7-575190,1073627138
7-935230,1073542913
7-755026,1073841153
7-392398,1073564808
7-392210,1073861633
5-366263,1073582081
5-366235,1073557505
7-1063745,1074085889
7-392511,1073622614
7-32381,1074019826
7-932620,1074012190
7-1099814,1074024961
7-208624,1073807086
7-1078183,1074043922
5-907421,1074058241
7-393229,1073579009
7-933608,1073627138
7-1080341,1073777800
7-213068,1074038440
7-208345,1074038440
7-210355,1073627138
5-13719,1073807361
5-544735,1073582081
7-753930,1074043922
7-753628,1074019826
7-1423028,1073807361
7-1100498,1073807361
7-1081740,1073807360
7-1258159,1073627138
5-364675,1074085889
7-390570,1074024961
7-1241912,1073777665
7-28399,1073807360
7-210236,1074043922
7-1439644,1073836922
5-544404,1073807617
7-31970,1073807361
5-866903,1073850218
7-570035,1074049914
7-1259212,1074094052
7-1421211,1074020628
7-930332,1073837057
7-749968,1073774593
7-1096510,1073774868
7-751402,1073861633
7-1116335,1073992705
5-864057,1074094052
7-931428,1073774868
7-31141,1074160988
7-211179,1073627138
5-545532,1074031617
7-750172,1074020353
7-209448,1073793281
7-750113,1073841153
7-209437,1074067802
7-1420848,1073837057
7-1421183,1074020628
7-389482,1074012394
7-1116539,1074019826
7-570850,1073777665
7-569002,1073766284
5-545242,1073582081
5-725564,1073807636
5-865635,1073840404
5-365086,1073807361
7-1077629,1074019826
7-930969,1074012190
5-10135,1073807361
7-726796,1074043922
7-929080,1074043922
5-362692,1073861633
7-886468,1073793281
5-864832,1074094052
7-186097,1073987584
7-886406,1074085889
7-1116803,1074094052
7-187776,1074050049
7-1094762,1074011137
7-1077116,1073561600
7-1256941,1073528833
5-902384,1074058241
7-727778,1073774593
7-187328,1074337710
7-887785,1073837057
7-1434604,1074020628
7-887722,1073627138
7-1094216,1073793281
5-183209,1073861633
7-547399,1074043922
7-727239,1073992705
7-364768,1074020865
5-898564,1074064010
5-720238,1073564808
7-545796,1073542913
7-885855,1074020628
7-545454,1074043922
5-900341,1073659905
5-559785,1074054145
7-864121,1073774868
7-727132,1073807360
7-904464,1074042232
7-1435275,1073807361
7-1255318,1073774868
7-365430,1074080513
5-860413,1073836922
7-1254922,1074043922
