key,14
7-903943,1073938433
5-503508,1073835009
7-160585,1073807361
7-885167,1073756506
7-901305,1073775617
7-880858,1074020353
5-483339,1074266113
7-882873,1073774592
5-484899,1074266113
7-885278,1073742100
7-161743,1074094052
7-882275,1073802838
7-898439,1073998474
7-900231,1074054145
7-882850,1073782017
7-903025,1073798145
7-904880,1073754638
7-161838,1073782017
7-884312,1073840128
7-160615,1073516545
7-900640,1073938433
7-898475,1073594369
7-161978,1073938433
7-160146,1073774592
7-919680,1074200577
7-881411,1074397185
7-898839,1073798145
7-881032,1073550712
7-161936,1073546998
7-882459,1074020353
7-177277,1073516545
7-918047,1073782017
7-160818,1074407937
7-883784,1073782017
7-881274,1074028312
7-901390,1074018561
7-884608,1074049914
7-163948,1073516545
7-899914,1073283073
7-881698,1074002177
7-887005,1073754638
7-884671,1073500588
7-884546,1073782017
7-163513,1073840129
7-880180,1073774592
7-899910,1073584129
7-904702,1073335041
7-163671,1073584232
7-915687,1073594369
5-514999,1073992705
7-914997,1073594369
5-492263,1074135041
5-513885,1073807105
7-892528,1074020628
5-517109,1073773569
5-514610,1074081281
7-898959,1073517160
7-175864,1073754113
7-894116,1073798145
7-895756,1073584232
7-918900,1073631233
7-175894,1073550712
7-172548,1073998474
5-514708,1073835009
7-916026,1073756506
7-175126,1073938433
7-894786,1073584129
7-894463,1073676289
7-897691,1074266113
7-172638,1073756506
7-917018,1073528577
5-494531,1074407937
7-168096,1074205280
7-169642,1074018561
7-914484,1073594369
7-894309,1073546998
7-896391,1073807086
7-897874,1073742081
7-894894,1073842534
7-169821,1073500588
7-895231,1074038518
7-170567,1073741825
7-169356,1073500588
7-171293,1073499272
7-913869,1073774318
7-913992,1073741825
7-915869,1073938433
7-173373,1073754638
7-170955,1073754638
7-913440,1074075752
7-892205,1073807361
7-892345,1073842534
7-913903,1073631233
7-171077,1073840128
7-146701,1073771521
5-488670,1073773569
5-488161,1074135041
7-910589,1073754113
7-913223,1073984513
7-913372,1073756506
7-912954,1073517160
7-893105,1073798145
5-510157,1073992705
7-910513,1073756506
7-146055,1074020353
7-890601,1073774318
5-86520,1074035713
7-147653,1073807086
7-890602,1074075752
7-910766,1073782017
5-511244,1074081281
7-911620,1073754113
7-890040,1073527041
5-87892,1074266113
7-890201,1074397185
7-147550,1073782017
7-888188,1074038518
7-909966,1074135041
7-889391,1073777665
7-890984,1073534209
7-888905,1074052988
7-145969,1073798145
7-891122,1073546998
7-890918,1073527041
5-264433,1073766284
